primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
Knoxville,Knox County,37918,Washington pike,New Harvest Farmers Market,New Harvest Farmers Market,Washington pike,New Harvest Farmers Market,New Harvest Farmers Market,New Harvest Farmers Market,002OYBkSeZ2kNQw09Nt8wO,,New Harvest Farmers Market,
Murfreesboro,Rutherford County,37128,Murfreesboro ,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Any ,,NA,,01Lx4de4bqJm5ym7oPvIoN,,Main Street Murfreesboro Farmers Market,
Manchester,Coffee County,37355,Unsure,Unsure,Unsure,Manchester farmers market ,Manchester Parks and Recreation Farmers Market,Coffee County Farmers Market,Manchester Parks and Recreation Farmers Market,01Qpskny0fWNB5Wl2WzwCq,AR,Unsure,
,,38834,Shiloh Road,Unsure,,Shiloh Road,Unsure,,,01nuCVE6Nzp6gzZagujruR,,,
Memphis,Shelby County,38134,Shelby farms ,Not a farmers market,Agricenter Farmers Market,Shelby farms ,Unsure,Agricenter Farmers Market,,02DNnhHjnxRSj5RByqlyIM,0,,0
Nashville,Davidson County,37203,Sylvan park,Not a farmers market,Richland Park Farmers Market,Sylvan park ,Not Farmers Market,Richland Farmers Market,Richland Farmers Market,02FSadaWn9KNYgdhLS6OSu,SP,Richland Park Farmers Market,SP
Friendship,Crockett County,38034,Unsure,Unsure,Unsure,,,NA, ,02LI1Sj4o8bFyGLK8ThVFH,,Unsure,
Memphis,Shelby County,38106,Unsure,Unsure,Unsure,Popular Ave. ,Not Farmers Market,Collierville Farmers Market,Collierville Farmers Market,02ciK2ecY2rL9R8X2zApyR,SP,Unsure,
,,63830,Unsure,Unsure,,,,, ,02p51CWF4nMaERRSLwyRsO,,Unsure,
Lebanon,Wilson County,37087,Unsure,Unsure,Unsure,,,NA, ,031bexxBkIIq7V8WemCDrF,,Unsure,
Memphis,Shelby County,38141,Kroger,Not a farmers market,Not Farmers Market,,,NA, ,03CoZjiGSBuBJdLGkjPusd,,,
Mcminnville,Warren County,37110,Unsure,Unsure,Unsure,,,NA, ,03Se53zSA0fwOj0jb2nmKp,,Unsure,
Clarksville,Montgomery County,37042,Unsure ,Unsure,Unsure,,,NA, ,03qYBotdY2ZKjex2ojwSrX,,Unsure,
Memphis,Shelby County,38125,Winchester Farmers Market ,Winchester Farmers Market,Winchester Farmers Market,Winchester Farmers Market ,Winchester Farmers Market,Winchester Farmers Market,Winchester Farmers Market,03qymdED0dslZDLrG1xrkI,,Winchester Farmers Market,
Clarksville,Montgomery County,37040,unsure,Unsure,Unsure,,,NA, ,04A4wbBYw4tHs9HFNZeBCh,,Unsure,
Memphis,Shelby County,38106,Unsure ,Unsure,Unsure,Buchers,,Not Farmers Market,Not Farmers Market,04DHY07K4uWz4VtGEjXac1,SP,Unsure,
Pocahontas,Hardeman County,38061,Bolivar ,Bolivar Farmers Market,Bolivar Farmers Market,,,NA, ,04J4AZQcEdgLEjZEEYSzrA,,Bolivar Farmers Market,
Tellico Plains,Monroe County,37385,Tellico Farm Market ,Tellico Community Farmers Market,Tellico Farmers Market,Tellico Farm Market,Tellico Community Farmers Market,Tellico Community Farmers Market,Tellico Community Farmers Market,04v6QaKEDlNTGeTRuNKlHp,,,
Nashville,Davidson County,37203,Rosa Park,Nashville Farmers Market,Nashville Farmers Market,,,NA, ,054XE1j9LPTPnj70Rr2NLQ,,Nashville Farmers Market,
,,72315,Unsure,Unsure,,,,, ,05Ceyr2a001WPzd6MFciDN,,Unsure,
Spring Hill,Williamson County,37174,unsure,Unsure,Unsure,,,NA, ,05yFKML0qfLW2HE3hDrw8Z,,Unsure,
,,40965,Middlesboro produce ,Middlesboro Farmers Market,,Middlesboro produce,Middlesboro Farmers Market,,Middlesboro Farmers Market,061dvls7Q7AAZfsgQoOSbs,AR,Middlesboro Farmers Market,AR
