original_market,season,snap_accepting_fm,original_lon,original_lat,original_code,original_fmid,original_pmid,original_produce,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,TotalVendors,Produce,Food,Ethnic,Soul,Specialty,Service,Plantsgarden,ArtCraft,Pets,Foodtrucks,others
 Five Points Franklin Market,May-October,,-86.871864,35.924217,1001,1001,,,19.682243,"500 -02 W Main Street, Franklin, TN 37064, United States of America",35.924103,-86.872032,,500,-02 W Main Street,37064,,,Franklin,Williamson County,WL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
12 South Farmers Market,May-October,,-86.790466,36.118309,1002,1002,,,35.20277,"1162 Clayton Avenue, Nashville, TN 37204, United States of America",36.117992,-86.790489,,1162,Clayton Avenue,37204,,,Nashville,Davidson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,36,10,12,2,,6,,,,4,1,1
817 Dinah Shore Blvd,May-October,,-86.104759,35.192215,1003,1003,,,1.4478467,"817 Dinah Shore Boulevard, Winchester, TN 37398, United States of America",35.192204,-86.104744,,817,Dinah Shore Boulevard,37398,,,Winchester,Franklin County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Agricenter Farmers Market,Year-round,,-89.801727,35.127182,1004,1004,,,12.212567,"7860 Smythe Farm Road, Memphis, TN 38120, United States of America",35.127293,-89.80175,,7860,Smythe Farm Road,38120,,River Oaks,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,40,13,10,3,,9,,,4,1,1,
Algood Farmers Market,May-October,,-85.451508,36.193394,1005,1005,,,12.461782,"186 West Main Street, Cookeville, TN 38506, United States of America",36.193413,-85.45137,,186,West Main Street,38506,,,Cookeville,Putnam County,PU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Alton Park Community Farmers Market,May-November,,-85.312531,35.005821,1006,1006,,,0,"The Bethlehem Center, 200 West 38th Street, Chattanooga, TN 37410, United States of America",35.005737,-85.312355,The Bethlehem Center,200,West 38th Street,37410,,,Chattanooga,Hamilton County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Amqui Station Farmers Market,April-October,,-86.717506,36.257813,1007,1007,,,5.8834429,"514 Madison Station Boulevard, Madison, TN 37115, United States of America",36.257832,-86.717445,,514,Madison Station Boulevard,37115,,Montague,Madison,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,34,7,11,,,1,4,,8,,2,1
Arrington Farmers Market,May-October,Yes,-86.702003,35.842049,1008,1008,,,84.779106,"6361 Cox Road, Arrington, TN 37046, United States of America",35.842148,-86.701073,,6361,Cox Road,37046,,,Arrington,Williamson County,WL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Ashland City Farmers Market,June-August,,-87.071823,36.270439,1009,1009,,,37.989819,"275 Old Cumberland Street, Ashland City, TN 37015, United States of America",36.270103,-87.071747,,275,Old Cumberland Street,37015,,,Ashland City,Cheatham County,CA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Athens Farmers Market,April-May,,-84.591759,35.441544,1010,1010,,,11.109108,"215 East Bank Street, Athens, TN 37303, United States of America",35.441643,-84.591774,,215,East Bank Street,37303,,,Athens,McMinn County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Bains Orchard, ,,-86.010498,35.39917,2001,,2001,1,18.18153,"2130 Bains Road, Hillsboro, TN 37342, United States of America",35.399334,-86.010529,,2130,Bains Road,37342,,,Hillsboro,Coffee County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Barefoot Community Farmers Market,June-October,,-85.858246,36.522861,1011,1011,,,16.333704,"520 Lafayette Road, Red Boiling Springs, TN 37150, United States of America",36.522907,-85.85807,,520,Lafayette Road,37150,,,Red Boiling Springs,Macon County,MC,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
